,trazoA,trazoB,trazoC,ValorMulta
1017,1,0,0,0
1018,2,3,5,0
1019,2,3,5,0
1020,2,4,5,300
1021,2,3,5,300
1022,2,3,5,600
1023,2,4,5,300
1024,1,0,0,0
1025,2,3,5,300
1026,1,0,0,0
1027,1,0,0,0
1028,1,0,0,0
1029,2,4,5,300
1030,1,0,0,0
1031,1,0,0,0
1032,2,4,5,0
1033,2,4,5,300
1034,1,0,0,0
1035,2,3,5,600
1036,2,4,5,300
1037,1,0,0,0
1038,1,0,0,0
1039,2,4,5,600
1040,2,3,5,0
1041,2,3,5,900
1042,2,3,5,600
1043,2,4,5,0
1044,2,3,5,300
1045,1,0,0,0
1046,2,3,5,300
1047,2,4,5,300
1048,1,0,0,0
1049,1,0,0,0
1050,1,0,0,0
1051,1,0,0,0
1052,1,0,0,0
1053,1,0,0,0
1054,2,3,5,600
1055,2,4,5,300
1056,2,4,5,300
1057,1,0,0,0
1058,2,4,5,300
1059,2,3,5,300
1060,2,4,5,600
1061,1,0,0,0
1062,1,0,0,0
1063,1,0,0,0
1064,1,0,0,0
1065,1,0,0,0
1066,2,4,5,300
1067,1,0,0,0
1068,1,0,0,0
1069,2,4,5,600
1070,1,0,0,0
1071,2,3,5,300
1072,1,0,0,0
1073,2,4,5,300
1074,2,3,5,600
1075,1,0,0,0
1076,2,4,5,300
1077,2,3,5,300
1078,2,4,5,0
1079,1,0,0,0
1080,1,0,0,0
1081,1,0,0,0
1082,2,3,5,300
1083,1,0,0,0
1084,2,4,5,0
1085,1,0,0,0
1086,2,3,5,300
1087,2,4,5,0
1088,1,0,0,0
1089,1,0,0,0
1090,2,4,5,0
1091,1,0,0,0
1092,2,4,5,300
1093,1,0,0,0
1094,2,3,5,0
